Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,110.08379099173258,42.85277812710833,5.235359320035841,-0.33986713855915607,0.0363,0.0246,0.04800000000000004,789.3333333333333,0.000155902746276837,0.000155902746276837,0.000155902746276837,0_1:0.007325386033157577,0_1:576
1,74.84875520850044,80.52649253019389,5.099652880691052,-0.3432484042938357,0.015000000000000013,0.0158,0.01419999999999999,789.3333333333333,0.0001934615667518979,0.0001934615667518979,0.0001934615667518979,1_3:0.006883495740914403; 1_2:0.00868332116291598; 1_0:0.007325386033157577,1_3:334.22222222222223; 1_2:327.1111111111111; 1_0:611.5555555555555
2,65.45065701386025,87.06337219930118,5.18833892930734,-0.3419316690031256,0.007500000000000062,0.010000000000000009,0.005,789.3333333333333,0.0003136018507637701,0.0003136018507637701,0.0003136018507637701,2_1:0.00868332116291598,2_1:291.55555555555554
3,142.23444293723276,77.09433289037916,4.9874630853197495,-0.3452928861203798,0.016599999999999948,0.0186,0.014599999999999946,789.3333333333333,0.00020962921617780672,0.00020962921617780672,0.00020962921617780672,3_1:0.006883495740914403; 3_5:0.015526307202617051,3_1:298.66666666666663; 3_5:960
4,49.64334810902289,22.28540189530743,5.285353131881096,-0.3392342674107948,0.021700000000000053,0.026800000000000046,0.0166,789.3333333333333,0.00028341683900256646,0.00028341683900256646,0.00028341683900256646,4_5:0.007433808244774132,4_5:362.66666666666663
5,134.54240808714448,64.15742022059526,5.1760854915271315,-0.34079297245074963,0.016899999999999915,0.0176,0.016199999999999992,789.3333333333333,0.00022252573363189403,0.00022252573363189403,0.00022252573363189403,5_4:0.007433808244774132; 5_6:0.008901645623775573; 5_3:0.015526307202617051,5_4:327.1111111111111; 5_6:256; 5_3:995.5555555555555
6,107.0634944655717,96.76732110824696,5.063894351572793,-0.34275836537159754,0.01770000000000005,0.019000000000000017,0.0164,789.3333333333333,0.00032106639790357766,0.00032106639790357766,0.00032106639790357766,6_5:0.008901645623775573,6_5:291.55555555555554
